--- Terminal on /dev/cu.usbserial-0001 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
176 - IR_RAW: 111180 - IR_AC: 627
177 - IR_RAW: 111210 - IR_AC: 701
178 - IR_RAW: 111315 - IR_AC: 765
179 - IR_RAW: 111467 - IR_AC: 815
180 - IR_RAW: 111533 - IR_AC: 850
181 - IR_RAW: 111114 - IR_AC: 870
182 - IR_RAW: 109820 - IR_AC: 863
183 - IR_RAW: 109844 - IR_AC: 814
184 - IR_RAW: 110053 - IR_AC: 704
185 - IR_RAW: 110269 - IR_AC: 529
186 - IR_RAW: 110463 - IR_AC: 307
187 - IR_RAW: 110695 - IR_AC: 82
188 - IR_RAW: 110861 - IR_AC: -95
189 - IR_RAW: 110860 - IR_AC: -186
190 - IR_RAW: 110792 - IR_AC: -181
191 - IR_RAW: 110859 - IR_AC: -102
192 - IR_RAW: 111007 - IR_AC: 11
193 - IR_RAW: 111155 - IR_AC: 122
194 - IR_RAW: 111285 - IR_AC: 211
195 - IR_RAW: 111422 - IR_AC: 279
196 - IR_RAW: 111521 - IR_AC: 337
197 - IR_RAW: 111612 - IR_AC: 396
198 - IR_RAW: 111659 - IR_AC: 462
199 - IR_RAW: 110983 - IR_AC: -183
BPM: 83.333336,AVG_BPM: 83.717361
0 - IR_RAW: 111295 - IR_AC: 576
1 - IR_RAW: 111224 - IR_AC: 596
2 - IR_RAW: 111147 - IR_AC: 578
3 - IR_RAW: 111234 - IR_AC: 523
4 - IR_RAW: 111374 - IR_AC: 442
5 - IR_RAW: 111540 - IR_AC: 358
6 - IR_RAW: 111651 - IR_AC: 290
7 - IR_RAW: 111763 - IR_AC: 254
8 - IR_RAW: 111836 - IR_AC: 258
9 - IR_RAW: 111895 - IR_AC: 295
10 - IR_RAW: 111953 - IR_AC: 353
11 - IR_RAW: 112021 - IR_AC: 419
12 - IR_RAW: 112057 - IR_AC: 481
13 - IR_RAW: 112093 - IR_AC: 532
14 - IR_RAW: 111999 - IR_AC: 569
15 - IR_RAW: 110482 - IR_AC: 577
16 - IR_RAW: 110168 - IR_AC: 541
17 - IR_RAW: 110398 - IR_AC: 441
18 - IR_RAW: 110747 - IR_AC: 268
19 - IR_RAW: 111036 - IR_AC: 41
20 - IR_RAW: 111259 - IR_AC: -197
21 - IR_RAW: 111418 - IR_AC: -387
22 - IR_RAW: 111484 - IR_AC: -483
23 - IR_RAW: 111438 - IR_AC: -470
24 - IR_RAW: 111411 - IR_AC: -368
25 - IR_RAW: 111491 - IR_AC: -222
26 - IR_RAW: 111625 - IR_AC: -79
27 - IR_RAW: 111742 - IR_AC: 33
28 - IR_RAW: 111869 - IR_AC: 111
29 - IR_RAW: 111930 - IR_AC: 165
30 - IR_RAW: 111961 - IR_AC: 212
31 - IR_RAW: 111988 - IR_AC: 261
32 - IR_RAW: 111295 - IR_AC: 308
33 - IR_RAW: 112045 - IR_AC: 349
34 - IR_RAW: 112086 - IR_AC: 373
35 - IR_RAW: 112143 - IR_AC: 381
36 - IR_RAW: 112098 - IR_AC: 380
37 - IR_RAW: 110744 - IR_AC: 367
38 - IR_RAW: 110211 - IR_AC: 335
39 - IR_RAW: 110396 - IR_AC: 260
40 - IR_RAW: 110772 - IR_AC: 126
41 - IR_RAW: 111073 - IR_AC: -63
42 - IR_RAW: 111288 - IR_AC: -275
43 - IR_RAW: 111449 - IR_AC: -455
44 - IR_RAW: 111528 - IR_AC: -553
45 - IR_RAW: 111508 - IR_AC: -547
46 - IR_RAW: 111466 - IR_AC: -449
47 - IR_RAW: 111531 - IR_AC: -303
48 - IR_RAW: 111636 - IR_AC: -154
49 - IR_RAW: 111727 - IR_AC: -35
50 - IR_RAW: 111812 - IR_AC: 48
51 - IR_RAW: 111871 - IR_AC: 103
52 - IR_RAW: 111920 - IR_AC: 146
53 - IR_RAW: 111967 - IR_AC: 188
54 - IR_RAW: 112012 - IR_AC: 231
55 - IR_RAW: 112040 - IR_AC: 275
56 - IR_RAW: 112071 - IR_AC: 315
57 - IR_RAW: 111658 - IR_AC: 343
58 - IR_RAW: 110272 - IR_AC: 344
59 - IR_RAW: 110244 - IR_AC: 298
60 - IR_RAW: 110495 - IR_AC: 187
61 - IR_RAW: 110822 - IR_AC: 9
62 - IR_RAW: 111042 - IR_AC: -212
63 - IR_RAW: 111217 - IR_AC: -427
64 - IR_RAW: 111321 - IR_AC: -584
65 - IR_RAW: 111211 - IR_AC: -647
66 - IR_RAW: 110987 - IR_AC: -613
67 - IR_RAW: 110988 - IR_AC: -514
68 - IR_RAW: 111117 - IR_AC: -397
69 - IR_RAW: 111258 - IR_AC: -301
70 - IR_RAW: 111380 - IR_AC: -241
71 - IR_RAW: 111477 - IR_AC: -209
72 - IR_RAW: 111538 - IR_AC: -182
73 - IR_RAW: 111633 - IR_AC: -143
74 - IR_RAW: 111714 - IR_AC: -84
75 - IR_RAW: 111768 - IR_AC: -10
76 - IR_RAW: 111779 - IR_AC: 70
77 - IR_RAW: 110736 - IR_AC: 136
78 - IR_RAW: 110143 - IR_AC: 166
79 - IR_RAW: 110241 - IR_AC: 139
80 - IR_RAW: 110474 - IR_AC: 41
81 - IR_RAW: 110696 - IR_AC: -118
82 - IR_RAW: 110856 - IR_AC: -308
83 - IR_RAW: 110959 - IR_AC: -480
84 - IR_RAW: 110930 - IR_AC: -591
85 - IR_RAW: 110741 - IR_AC: -619
86 - IR_RAW: 110674 - IR_AC: -576
87 - IR_RAW: 110758 - IR_AC: -494
88 - IR_RAW: 110905 - IR_AC: -410
89 - IR_RAW: 111051 - IR_AC: -347
90 - IR_RAW: 111161 - IR_AC: -307
91 - IR_RAW: 111240 - IR_AC: -273
92 - IR_RAW: 111334 - IR_AC: -229
93 - IR_RAW: 111438 - IR_AC: -166
94 - IR_RAW: 111519 - IR_AC: -85
95 - IR_RAW: 111565 - IR_AC: 6
96 - IR_RAW: 111648 - IR_AC: 96
97 - IR_RAW: 111114 - IR_AC: 172
98 - IR_RAW: 110104 - IR_AC: 218
99 - IR_RAW: 110110 - IR_AC: 214
100 - IR_RAW: 110286 - IR_AC: 145
101 - IR_RAW: 110445 - IR_AC: 11
102 - IR_RAW: 110526 - IR_AC: -168
103 - IR_RAW: 110617 - IR_AC: -352
104 - IR_RAW: 110652 - IR_AC: -497
105 - IR_RAW: 110529 - IR_AC: -574
106 - IR_RAW: 110465 - IR_AC: -581
107 - IR_RAW: 110506 - IR_AC: -537
108 - IR_RAW: 110625 - IR_AC: -474
109 - IR_RAW: 110772 - IR_AC: -415
110 - IR_RAW: 110882 - IR_AC: -367
111 - IR_RAW: 110978 - IR_AC: -324
112 - IR_RAW: 111077 - IR_AC: -273
113 - IR_RAW: 111182 - IR_AC: -205
114 - IR_RAW: 111239 - IR_AC: -123
115 - IR_RAW: 111315 - IR_AC: -32
116 - IR_RAW: 111395 - IR_AC: 58
117 - IR_RAW: 111471 - IR_AC: 141
118 - IR_RAW: 111547 - IR_AC: 214
119 - IR_RAW: 111612 - IR_AC: 276
120 - IR_RAW: 111567 - IR_AC: 328
121 - IR_RAW: 110300 - IR_AC: 361
122 - IR_RAW: 110058 - IR_AC: 360
123 - IR_RAW: 110208 - IR_AC: 304
124 - IR_RAW: 110419 - IR_AC: 186
125 - IR_RAW: 110575 - IR_AC: 15
126 - IR_RAW: 110657 - IR_AC: -175
127 - IR_RAW: 110697 - IR_AC: -340
128 - IR_RAW: 110650 - IR_AC: -444
129 - IR_RAW: 110549 - IR_AC: -473
130 - IR_RAW: 110573 - IR_AC: -441
131 - IR_RAW: 110682 - IR_AC: -378
132 - IR_RAW: 110824 - IR_AC: -313
133 - IR_RAW: 110961 - IR_AC: -261
134 - IR_RAW: 111088 - IR_AC: -219
135 - IR_RAW: 111162 - IR_AC: -173
136 - IR_RAW: 111221 - IR_AC: -114
137 - IR_RAW: 111292 - IR_AC: -39
138 - IR_RAW: 111397 - IR_AC: 46
139 - IR_RAW: 111452 - IR_AC: 132
140 - IR_RAW: 111477 - IR_AC: 211
141 - IR_RAW: 111520 - IR_AC: 278
142 - IR_RAW: 111384 - IR_AC: 331
143 - IR_RAW: 110303 - IR_AC: 358
144 - IR_RAW: 110206 - IR_AC: 349
145 - IR_RAW: 110374 - IR_AC: 289
146 - IR_RAW: 110564 - IR_AC: 173
147 - IR_RAW: 110696 - IR_AC: 16
148 - IR_RAW: 110821 - IR_AC: -149
149 - IR_RAW: 110856 - IR_AC: -283
150 - IR_RAW: 110727 - IR_AC: -357
151 - IR_RAW: 110636 - IR_AC: -365
152 - IR_RAW: 110667 - IR_AC: -324
153 - IR_RAW: 110804 - IR_AC: -264
154 - IR_RAW: 110917 - IR_AC: -210
155 - IR_RAW: 111024 - IR_AC: -172
156 - IR_RAW: 111123 - IR_AC: -143
157 - IR_RAW: 111215 - IR_AC: -110
158 - IR_RAW: 111289 - IR_AC: -62
159 - IR_RAW: 111366 - IR_AC: 3
160 - IR_RAW: 111442 - IR_AC: 79
161 - IR_RAW: 111514 - IR_AC: 157
162 - IR_RAW: 111552 - IR_AC: 230
163 - IR_RAW: 111486 - IR_AC: 293
164 - IR_RAW: 110505 - IR_AC: 334
165 - IR_RAW: 110334 - IR_AC: 343
166 - IR_RAW: 110464 - IR_AC: 303
167 - IR_RAW: 110620 - IR_AC: 210
168 - IR_RAW: 110726 - IR_AC: 72
169 - IR_RAW: 110770 - IR_AC: -82
170 - IR_RAW: 110835 - IR_AC: -217
171 - IR_RAW: 110823 - IR_AC: -304
172 - IR_RAW: 110765 - IR_AC: -331
173 - IR_RAW: 110783 - IR_AC: -309
174 - IR_RAW: 110845 - IR_AC: -260
175 - IR_RAW: 110973 - IR_AC: -206
176 - IR_RAW: 111088 - IR_AC: -161
177 - IR_RAW: 111186 - IR_AC: -122
178 - IR_RAW: 111250 - IR_AC: -82
179 - IR_RAW: 111331 - IR_AC: -33
180 - IR_RAW: 111423 - IR_AC: 27
181 - IR_RAW: 111476 - IR_AC: 95
182 - IR_RAW: 111534 - IR_AC: 166
183 - IR_RAW: 111602 - IR_AC: 232
184 - IR_RAW: 111633 - IR_AC: 291
185 - IR_RAW: 111666 - IR_AC: 340
186 - IR_RAW: 111708 - IR_AC: 380
187 - IR_RAW: 111262 - IR_AC: 408
188 - IR_RAW: 110583 - IR_AC: 413
189 - IR_RAW: 110599 - IR_AC: 384
190 - IR_RAW: 110795 - IR_AC: 311
191 - IR_RAW: 110976 - IR_AC: 195
192 - IR_RAW: 111060 - IR_AC: 53
193 - IR_RAW: 111142 - IR_AC: -82
194 - IR_RAW: 111199 - IR_AC: -180
195 - IR_RAW: 111152 - IR_AC: -221
196 - IR_RAW: 111095 - IR_AC: -206
197 - IR_RAW: 111135 - IR_AC: -155
198 - IR_RAW: 111248 - IR_AC: -92
199 - IR_RAW: 111208 - IR_AC: 526
BPM: 75.000000,AVG_BPM: 70.247986
0 - IR_RAW: 112150 - IR_AC: 24
1 - IR_RAW: 112171 - IR_AC: 92
2 - IR_RAW: 112212 - IR_AC: 184
3 - IR_RAW: 111568 - IR_AC: 298
4 - IR_RAW: 111140 - IR_AC: 409
5 - IR_RAW: 111219 - IR_AC: 484
6 - IR_RAW: 111414 - IR_AC: 495
7 - IR_RAW: 111614 - IR_AC: 434
8 - IR_RAW: 111742 - IR_AC: 325
9 - IR_RAW: 111832 - IR_AC: 208
10 - IR_RAW: 111793 - IR_AC: 123
11 - IR_RAW: 111668 - IR_AC: 92
12 - IR_RAW: 111636 - IR_AC: 110
13 - IR_RAW: 111722 - IR_AC: 154
14 - IR_RAW: 111830 - IR_AC: 197
15 - IR_RAW: 111929 - IR_AC: 223
16 - IR_RAW: 112004 - IR_AC: 233
17 - IR_RAW: 112075 - IR_AC: 238
18 - IR_RAW: 112122 - IR_AC: 249
19 - IR_RAW: 112191 - IR_AC: 274
20 - IR_RAW: 112249 - IR_AC: 311
21 - IR_RAW: 112292 - IR_AC: 353
22 - IR_RAW: 112329 - IR_AC: 395
23 - IR_RAW: 112362 - IR_AC: 430
24 - IR_RAW: 112406 - IR_AC: 458
25 - IR_RAW: 112025 - IR_AC: 475
26 - IR_RAW: 111307 - IR_AC: 473
27 - IR_RAW: 111300 - IR_AC: 439
28 - IR_RAW: 111472 - IR_AC: 364
29 - IR_RAW: 111623 - IR_AC: 247
30 - IR_RAW: 111724 - IR_AC: 104
31 - IR_RAW: 111800 - IR_AC: -36
32 - IR_RAW: 111836 - IR_AC: -143
33 - IR_RAW: 111778 - IR_AC: -195
34 - IR_RAW: 111716 - IR_AC: -193
35 - IR_RAW: 111741 - IR_AC: -155
36 - IR_RAW: 111815 - IR_AC: -103
37 - IR_RAW: 111906 - IR_AC: -59
38 - IR_RAW: 111990 - IR_AC: -29
39 - IR_RAW: 112062 - IR_AC: -8
40 - IR_RAW: 112123 - IR_AC: 14
41 - IR_RAW: 112167 - IR_AC: 45
42 - IR_RAW: 112225 - IR_AC: 86
43 - IR_RAW: 112278 - IR_AC: 134
44 - IR_RAW: 112322 - IR_AC: 183
45 - IR_RAW: 112345 - IR_AC: 229
46 - IR_RAW: 112385 - IR_AC: 267
47 - IR_RAW: 112351 - IR_AC: 298
48 - IR_RAW: 111469 - IR_AC: 313
49 - IR_RAW: 111270 - IR_AC: 303
50 - IR_RAW: 111372 - IR_AC: 255
51 - IR_RAW: 111539 - IR_AC: 162
52 - IR_RAW: 111645 - IR_AC: 34
53 - IR_RAW: 111707 - IR_AC: -107
54 - IR_RAW: 111759 - IR_AC: -228
55 - IR_RAW: 111729 - IR_AC: -304
56 - IR_RAW: 111648 - IR_AC: -325
57 - IR_RAW: 111648 - IR_AC: -301
58 - IR_RAW: 111708 - IR_AC: -254
59 - IR_RAW: 111792 - IR_AC: -206
60 - IR_RAW: 111868 - IR_AC: -169
61 - IR_RAW: 111967 - IR_AC: -143
62 - IR_RAW: 112032 - IR_AC: -117
63 - IR_RAW: 112082 - IR_AC: -84
64 - IR_RAW: 112137 - IR_AC: -40
65 - IR_RAW: 112184 - IR_AC: 13
66 - IR_RAW: 112238 - IR_AC: 69
67 - IR_RAW: 112294 - IR_AC: 124
68 - IR_RAW: 112338 - IR_AC: 174
69 - IR_RAW: 112388 - IR_AC: 216
70 - IR_RAW: 112133 - IR_AC: 250
71 - IR_RAW: 111338 - IR_AC: 267
72 - IR_RAW: 111263 - IR_AC: 255
73 - IR_RAW: 111412 - IR_AC: 203
74 - IR_RAW: 111584 - IR_AC: 107
75 - IR_RAW: 111684 - IR_AC: -21
76 - IR_RAW: 111796 - IR_AC: -154
77 - IR_RAW: 111786 - IR_AC: -259
78 - IR_RAW: 111685 - IR_AC: -314
79 - IR_RAW: 111619 - IR_AC: -315
80 - IR_RAW: 111657 - IR_AC: -279
81 - IR_RAW: 111738 - IR_AC: -229
82 - IR_RAW: 111836 - IR_AC: -185
83 - IR_RAW: 111924 - IR_AC: -155
84 - IR_RAW: 111949 - IR_AC: -133
85 - IR_RAW: 112028 - IR_AC: -108
86 - IR_RAW: 112077 - IR_AC: -73
87 - IR_RAW: 112117 - IR_AC: -27
88 - IR_RAW: 112141 - IR_AC: 26
89 - IR_RAW: 112197 - IR_AC: 79
90 - IR_RAW: 112167 - IR_AC: 126
91 - IR_RAW: 111425 - IR_AC: 157
92 - IR_RAW: 111205 - IR_AC: 163
93 - IR_RAW: 111293 - IR_AC: 134
94 - IR_RAW: 111433 - IR_AC: 63
95 - IR_RAW: 111547 - IR_AC: -43
96 - IR_RAW: 111621 - IR_AC: -161
97 - IR_RAW: 111669 - IR_AC: -263
98 - IR_RAW: 111622 - IR_AC: -327
99 - IR_RAW: 111541 - IR_AC: -341
100 - IR_RAW: 111553 - IR_AC: -315
101 - IR_RAW: 111613 - IR_AC: -269
102 - IR_RAW: 111700 - IR_AC: -223
103 - IR_RAW: 111786 - IR_AC: -186
104 - IR_RAW: 111842 - IR_AC: -159
105 - IR_RAW: 111904 - IR_AC: -133
106 - IR_RAW: 111953 - IR_AC: -99
107 - IR_RAW: 112015 - IR_AC: -56
108 - IR_RAW: 112074 - IR_AC: -5
109 - IR_RAW: 112110 - IR_AC: 50
110 - IR_RAW: 112052 - IR_AC: 101
111 - IR_RAW: 111312 - IR_AC: 139
112 - IR_RAW: 111106 - IR_AC: 152
113 - IR_RAW: 111212 - IR_AC: 127
114 - IR_RAW: 111334 - IR_AC: 60
115 - IR_RAW: 111403 - IR_AC: -45
